elapsed_ms,kind,value,source,iso_time,session_label
205757,rr,782,saved_rr_points,2026-06-13T21:48:47Z,gate-b-300s-live-rr
206821,rr,833,saved_rr_points,2026-06-13T21:48:48Z,gate-b-300s-live-rr
207521,rr,830,saved_rr_points,2026-06-13T21:48:49Z,gate-b-300s-live-rr
208578,rr,780,saved_rr_points,2026-06-13T21:48:50Z,gate-b-300s-live-rr
209640,rr,746,saved_rr_points,2026-06-13T21:48:51Z,gate-b-300s-live-rr
210332,rr,750,saved_rr_points,2026-06-13T21:48:52Z,gate-b-300s-live-rr
210629,rr,753,saved_rr_points,2026-06-13T21:48:52Z,gate-b-300s-live-rr
211383,rr,754,saved_rr_points,2026-06-13T21:48:53Z,gate-b-300s-live-rr
212422,rr,758,saved_rr_points,2026-06-13T21:48:54Z,gate-b-300s-live-rr
213475,rr,809,saved_rr_points,2026-06-13T21:48:55Z,gate-b-300s-live-rr
214523,rr,803,saved_rr_points,2026-06-13T21:48:56Z,gate-b-300s-live-rr
215219,rr,922,saved_rr_points,2026-06-13T21:48:57Z,gate-b-300s-live-rr
216265,rr,971,saved_rr_points,2026-06-13T21:48:58Z,gate-b-300s-live-rr
217316,rr,938,saved_rr_points,2026-06-13T21:48:59Z,gate-b-300s-live-rr
218371,rr,957,saved_rr_points,2026-06-13T21:49:00Z,gate-b-300s-live-rr
219051,rr,955,saved_rr_points,2026-06-13T21:49:01Z,gate-b-300s-live-rr
219849,rr,895,saved_rr_points,2026-06-13T21:49:01Z,gate-b-300s-live-rr
221195,rr,851,saved_rr_points,2026-06-13T21:49:03Z,gate-b-300s-live-rr
221890,rr,864,saved_rr_points,2026-06-13T21:49:03Z,gate-b-300s-live-rr
222939,rr,890,saved_rr_points,2026-06-13T21:49:04Z,gate-b-300s-live-rr
223980,rr,902,saved_rr_points,2026-06-13T21:49:05Z,gate-b-300s-live-rr
224679,rr,869,saved_rr_points,2026-06-13T21:49:06Z,gate-b-300s-live-rr
225733,rr,849,saved_rr_points,2026-06-13T21:49:07Z,gate-b-300s-live-rr
226790,rr,877,saved_rr_points,2026-06-13T21:49:08Z,gate-b-300s-live-rr
227834,rr,877,saved_rr_points,2026-06-13T21:49:09Z,gate-b-300s-live-rr
228060,rr,836,saved_rr_points,2026-06-13T21:49:10Z,gate-b-300s-live-rr
228875,rr,815,saved_rr_points,2026-06-13T21:49:10Z,gate-b-300s-live-rr
230278,rr,846,saved_rr_points,2026-06-13T21:49:12Z,gate-b-300s-live-rr
230978,rr,840,saved_rr_points,2026-06-13T21:49:12Z,gate-b-300s-live-rr
231679,rr,764,saved_rr_points,2026-06-13T21:49:13Z,gate-b-300s-live-rr
232730,rr,695,saved_rr_points,2026-06-13T21:49:14Z,gate-b-300s-live-rr
233103,rr,735,saved_rr_points,2026-06-13T21:49:15Z,gate-b-300s-live-rr
233774,rr,671,saved_rr_points,2026-06-13T21:49:15Z,gate-b-300s-live-rr
234467,rr,704,saved_rr_points,2026-06-13T21:49:16Z,gate-b-300s-live-rr
235521,rr,658,saved_rr_points,2026-06-13T21:49:17Z,gate-b-300s-live-rr
235585,rr,650,saved_rr_points,2026-06-13T21:49:17Z,gate-b-300s-live-rr
236219,rr,634,saved_rr_points,2026-06-13T21:49:18Z,gate-b-300s-live-rr
237275,rr,638,saved_rr_points,2026-06-13T21:49:19Z,gate-b-300s-live-rr
237627,rr,661,saved_rr_points,2026-06-13T21:49:19Z,gate-b-300s-live-rr
238317,rr,690,saved_rr_points,2026-06-13T21:49:20Z,gate-b-300s-live-rr
